ID,Name,Class,Cmd ID,Food,Wood,Gold,Stone,Age,Notes
,,,,,,,,,
10,Archery Range (Castle Age),building-class (903),cmdid-military-building,0,175,0,0,3,
12,Barracks (Dark Age),building-class (903),cmdid-military-building,0,175,0,0,1,
14,Archery Range (Imperial Age),building-class (903),cmdid-military-building,0,175,0,0,4,
18,Blacksmith (Castle Age),building-class (903),cmdid-civilian-building,0,150,0,0,3,
19,Blacksmith (Imperial Age),building-class (903),cmdid-civilian-building,0,150,0,0,4,
20,Barracks (Imperial Age),building-class (903),cmdid-military-building,0,175,0,0,4,
30,Monastery (Feudal Age),building-class (903),cmdid-civilian-building,0,175,0,0,3,"The Feudal Age tech upgrades the monastery to this unit, but it's not available unit Castle Age."
31,"Monastery (Castle Age, Upgraded)",building-class (903),cmdid-civilian-building,0,175,0,0,3,The Castle Age tech upgrades the monastery to this unit.
32,Monastery (Imperial Age),building-class (903),cmdid-civilian-building,0,175,0,0,4,
45,Dock (Dark Age),building-class (903),cmdid-civilian-building,0,150,0,0,1,
47,Dock (Castle Age),building-class (903),cmdid-civilian-building,0,150,0,0,3,
49,Siege Workshop,building-class (903),cmdid-military-building,0,200,0,0,3,
50,Farm,farm-class (949),cmdid-civilian-building,0,60,0,0,1,
51,Dock (Imperial Age),building-class (903),cmdid-civilian-building,0,150,0,0,4,
68,Mill (Dark Age),building-class (903),cmdid-civilian-building,0,100,0,0,1,
70,House (Dark Age),building-class (903),cmdid-civilian-building,0,25,0,0,1,
71,Town Center (Feudal Age),building-class (903),cmdid-civilian-building,0,275,0,100,2,"For TC foundations use town-center-foundation (ID 621), In DE dead unit is 1431"
82,Castle,building-class (903),cmdid-military-building,0,0,0,650,3,
84,Market (Feudal Age),building-class (903),cmdid-civilian-building,0,175,0,0,2,
86,Stable (Castle Age),building-class (903),cmdid-military-building,0,175,0,0,3,
87,Archery Range (Feudal Age),building-class (903),cmdid-military-building,0,175,0,0,2,
101,Stable (Feudal Age),building-class (903),cmdid-military-building,0,175,0,0,2,
103,Blacksmith (Feudal Age),building-class (903),cmdid-civilian-building,0,150,0,0,2,
104,"Monastery (Castle Age, Base)",building-class (903),cmdid-civilian-building,0,175,0,0,3,
109,Town Center (Dark Age),building-class (903),cmdid-civilian-building,0,275,0,100,1,"For TC foundations use town-center-foundation (ID 621), In DE dead unit is 1408"
116,Market (Castle Age),building-class (903),cmdid-civilian-building,0,175,0,0,3,
129,Mill (Feudal Age),building-class (903),cmdid-civilian-building,0,100,0,0,2,
130,Mill (Castle Age),building-class (903),cmdid-civilian-building,0,100,0,0,3,
131,Mill (Imperial Age),building-class (903),cmdid-civilian-building,0,100,0,0,4,
132,Barracks (Castle Age),building-class (903),cmdid-military-building,0,175,0,0,3,
133,Dock (Feudal Age),building-class (903),cmdid-civilian-building,0,150,0,0,2,
137,Market (Imperial Age),building-class (903),cmdid-civilian-building,0,175,0,0,4,
141,Town Center (Castle Age),building-class (903),cmdid-civilian-building,0,275,0,100,3,"For TC foundations use town-center-foundation (ID 621), In DE dead unit is 1432"
142,Town Center (Imperial Age),building-class (903),cmdid-civilian-building,0,275,0,100,4,"For TC foundations use town-center-foundation (ID 621), In DE dead unit is 1433"
