ID,Display Name,Food,Wood,Gold,Stone,Building,Age,Civilization,Notes
2,Elite Tarkan,1000,0,500,0,Castle,4,Huns,can use my-unique-unit-upgrade
3,Yeomen,0,750,450,0,Castle,3,Britons,"can use my-second-unique-research, my-unique-research in UP/WK"
4,El Dorado,750,0,450,0,Castle,4,Mayans,can use my-unique-research
5,Furor Celtica,750,0,450,0,Castle,4,Celts,can use my-unique-research
6,Drill,0,500,450,0,Castle,4,Mongols,can use my-unique-research
7,Mahouts/Citadels,0,600,300,0,Castle,4,Persians,can use my-unique-research
8,Town Watch,75,0,0,0,Town Center,2,,
9,Zealotry,400,0,400,0,Castle,4,Saracens,"removed in DE, my-unique-research in UP/WK"
10,Artillery,600,0,650,0,Castle,4,Turks,can use my-unique-research
11,Crenellations,600,0,0,400,Castle,4,Teutons,can use my-unique-research
12,Crop Rotation,250,250,0,0,Mill,4,,
13,Heavy Plow,125,125,0,0,Mill,3,,
14,Horse Collar,75,75,0,0,Mill,2,,
15,Guilds,300,0,200,0,Market,4,,
16,Anarchy,450,0,250,0,Castle,3,Goths,"can use my-second-unique-research, my-unique-research in UP/WK"
17,Banking,300,0,200,0,Market,3,,Imperial Age in WK/DE
21,Atheism,500,300,0,0,Castle,4,Huns,can use my-unique-research
22,Loom,0,0,50,0,Town Center,1,,
23,Coinage,200,0,100,0,Market,2,,Castle Age in WK/DE
24,Garland Wars,450,0,750,0,Castle,4,Aztecs,can use my-unique-research
27,Elite Plumed Archer,700,1000,0,0,Castle,4,Mayans,can use my-unique-unit-upgrade
28,Bimaristan,0,300,200,0,Castle,3,Saracens,can use my-second-unique-research
34,Medium Warships,0,150,100,0,Dock,3,,"In DE, upgrades Galleys, Fire Galleys, and Hulks"
35,Heavy Warships,0,400,315,0,Dock,4,,"In DE, upgrades War Galleys, Fire Ships, and War Hulks"
39,Husbandry,150,0,0,0,Stable,3,,
45,Faith,550,0,750,0,Monastery,4,,
46,Devotion,100,0,200,0,Monastery,3,,
47,Chemistry,300,0,200,0,University,4,,
48,Caravan,200,0,200,0,Market,3,,
49,Bogsveigar,650,0,500,0,Castle,4,Vikings,"can use my-unique-research, previously called Berserkergang"
50,Masonry,150,175,0,0,University,3,,
51,Architecture,300,200,0,0,University,4,,
52,Rocketry,1100,0,900,0,Castle,4,Chinese,can use my-unique-research
54,Treadmill Crane,0,200,0,50,University,3,,
55,Gold Mining,100,75,0,0,Mining Camp,2,,
59,Kataparuto,0,550,300,0,Castle,4,Japanese,can use my-unique-research
60,Elite Conquistador,900,0,600,0,Castle,4,Spanish,can use my-unique-unit-upgrade
61,Logistica,800,0,600,0,Castle,4,Byzantines,can use my-unique-research
63,Keep,500,350,0,0,University,4,,
64,Bombard Tower,800,400,0,0,University,4,,
65,Gillnets,100,125,0,0,Dock,3,,
67,Forging,150,0,0,0,Blacksmith,2,,
68,Iron Casting,220,0,120,0,Blacksmith,3,,
74,Scale Mail Armor,100,0,0,0,Blacksmith,2,,
75,Blast Furnace,275,0,225,0,Blacksmith,4,,
76,Chain Mail Armor,200,0,100,0,Blacksmith,3,,
77,Plate Mail Armor,300,0,150,0,Blacksmith,4,,
80,Plate Barding Armor,350,0,200,0,Blacksmith,4,,
81,Scale Barding Armor,150,0,0,0,Blacksmith,2,,
82,Chain Barding Armor,250,0,150,0,Blacksmith,3,,
83,Bearded Axe,300,0,300,0,Castle,3,Franks,"can use my-second-unique-research, my-unique-research in UP/WK"
93,Ballistics,0,300,175,0,University,3,,
96,Capped Ram,300,0,0,0,Siege Workshop,4,,Castle Age for Cuman civilization
98,Elite Skirmisher,0,230,130,0,Archery Range,3,,
100,Crossbowman,175,0,100,0,Archery Range,3,,
