ID,Name,Type,Type2,Building,Age,Food,Wood,Gold,Total Cost,Build Time,Attack Speed,Delay,Movement Speed,LOS,HP,Min.range,Range,Damage,Accuracy,Melee Armor,Pierce Armor,Abilities,Notes
4,Archer,Archer,,Archery Range,Feudal,0,25,45,70,35,2,0.525,0.96,6,30,,4,4,80%,0,0,,
5,Hand Cannoneer,Gunpowder,,Archery Range,Imperial,45,0,50,95,34,3.45,0.35,0.96,9,35,,7,17,65%,1,0,,Requires Chemistry (and Hand Cannon tech for AoK)
6,Elite Skirmisher,Archer,,Archery Range,Castle,25,35,0,60,22,3,0.5,0.96,7,35,1,5,3,90%,0,4,,
7,Skirmisher,Archer,,Archery Range,Feudal,25,35,0,60,22,3,0.5,0.96,6,30,1,4,2,90%,0,3,,
8,Longbowman,Archer,,Unique,Castle,0,35,40,75,18,2,0.5,0.96,8,35,,6,6,70%,0,0,,
11,Mangudai,Archer,Cavalry,Unique,Castle,0,55,65,120,26,1.68,0.5,1.45,6,60,,4,6,95%,0,0,,
13,Fishing Ship,Ship,,Dock,Dark,0,150,0,150,40,-,0,1.26,5,60,,-,-,100%,0,4,,
17,Trade Cog,Ship,,Dock,Feudal,0,100,50,150,36,-,0,1.32,6,80,,-,-,100%,0,6,,
21,War Galley,Ship,,Dock,Castle,0,90,30,120,36,3,0,1.43,8,135,,6,7,100%,0,6,,
24,Crossbowman,Archer,,Archery Range,Castle,0,25,45,70,27,2,0.35,0.96,7,35,,5,5,85%,0,0,,
25,Teutonic Knight,Infantry,,Unique,Castle,85,0,40,125,12,2,0,0.7,3,80,,-,12,100%,5,2,,
35,Battering Ram,Siege,,Siege Workshop,Castle,0,160,75,235,36,5,0,0.5,3,175,,0,2,100%,0,180,,
36,Bombard Cannon,Siege,,Siege Workshop,Imperial,0,225,225,450,56,6.5,0.21,0.7,14,80,5,12,40,92%,2,5,,Requires Chemistry (and Bombard Cannon tech for AoK)
38,Knight,Cavalry,,Stable,Castle,60,0,75,135,30,1.8,0,1.35,4,100,,-,10,100%,2,2,,
39,Cavalry Archer,Archer,Cavalry,Archery Range,Castle,0,40,60,100,34,2,1,1.4,5,50,,4,6,50%,0,0,,
40,Cataphract,Cavalry,,Unique,Castle,70,0,75,145,20,1.8,0,1.35,4,110,,-,9,100%,2,1,,
41,Huskarl,Infantry,,Unique,Castle,52,0,26,78,16,2,0,1.05,3,60,,-,10,100%,0,6,,Can be counted with huskarl-set
46,Janissary,Gunpowder,,Unique,Castle,60,0,55,115,17,3.45,0.4,0.96,10,44,,8,17,50%,1,0,,
73,Chu Ko Nu,Archer,,Unique,Castle,0,40,35,75,16,3.6,0.21,0.96,6,45,,4,8,85%,0,0,,Kipchaks also use projectile 510
74,Militia,Infantry,,Barracks,Dark,60,0,20,80,21,2,0,0.9,4,40,,-,4,100%,0,1,,
75,Man-at-arms,Infantry,,Barracks,Feudal,60,0,20,80,21,2,0,0.9,4,45,,-,6,100%,0,1,,
77,Long Swordsman,Infantry,,Barracks,Castle,60,0,20,80,21,2,0,0.9,4,60,,-,9,100%,0,1,,
83,Villager,Civilian,,Town Center,Dark,50,0,0,50,25,2,0,0.8,4,25,,-,3,100%,0,0,,
93,Spearman,Infantry,,Barracks,Feudal,35,25,0,60,22,3,0,1,4,45,,-,3,100%,0,0,,
125,Monk,Monk,,Monastery,Castle,0,0,100,100,51,5.5,0,0.7,11,30,,9,0,100%,0,0,,Can be counted with monk-set
128,Trade Cart,Civilian,,Market,Feudal,0,100,50,150,50,-,0,1,7,70,,-,-,100%,0,0,,
